"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2012","106.58","106.24","107.20","105.84","296.55K","0.40%"
"03/07/2012","106.16","104.93","106.55","104.35","333.24K","1.39%"
"03/06/2012","104.70","107.11","107.34","104.51","332.56K","-1.89%"
"03/05/2012","106.72","106.75","107.42","105.50","237.45K","0.02%"
"03/02/2012","106.70","108.75","109.03","105.80","299.66K","-1.97%"
"03/01/2012","108.84","106.82","110.55","106.55","389.84K","1.65%"
"02/29/2012","107.07","106.46","107.43","104.84","353.13K","0.49%"
"02/28/2012","106.55","107.95","108.79","106.30","278.72K","-1.85%"
"02/27/2012","108.56","109.67","109.77","107.27","277.60K","-1.10%"
"02/24/2012","109.77","108.66","109.95","107.95","267.71K","1.80%"
"02/23/2012","107.83","105.95","108.74","105.45","325.66K","1.46%"
"02/22/2012","106.28","106.01","106.72","105.61","241.33K","0.42%"
"02/21/2012","105.84","104.65","106.07","104.26","32.98K","2.52%"
"02/17/2012","103.24","102.35","104.14","102.25","134.50K","0.91%"
"02/16/2012","102.31","101.90","102.69","100.84","197.31K","0.50%"
"02/15/2012","101.80","100.90","102.54","100.61","278.27K","1.05%"
"02/14/2012","100.74","100.73","101.84","100.28","314.29K","-0.17%"
"02/13/2012","100.91","99.33","100.87","99.09","268.06K","2.27%"
"02/10/2012","98.67","99.89","99.89","97.32","307.56K","-1.17%"
"02/09/2012","99.84","99.10","100.18","98.66","295.43K","1.14%"
"02/08/2012","98.71","98.77","100.09","98.10","364.74K","0.30%"
"02/07/2012","98.41","97.13","99.13","95.84","400.23K","1.55%"
"02/06/2012","96.91","97.74","97.75","96.38","257.72K","-0.95%"
"02/03/2012","97.84","96.61","98.03","96.01","318.64K","1.54%"
"02/02/2012","96.36","97.11","97.99","95.44","331.24K","-1.28%"
"02/01/2012","97.61","98.38","99.49","97.11","293.55K","-0.88%"
"01/31/2012","98.48","98.88","101.29","97.86","373.89K","-0.30%"
"01/30/2012","98.78","100.00","100.05","98.43","215.83K","-0.78%"
"01/27/2012","99.56","99.93","100.63","99.13","253.46K","-0.14%"
"01/26/2012","99.70","99.96","101.39","99.23","260.74K","0.30%"
"01/25/2012","99.40","99.20","100.40","97.53","322.79K","0.45%"
"01/24/2012","98.95","99.88","100.18","98.25","242.48K","-0.63%"
"01/23/2012","99.58","98.34","100.24","97.40","238.96K","1.14%"
"01/20/2012","98.46","100.39","100.74","97.91","34.90K","-1.92%"
"01/19/2012","100.39","101.14","102.06","99.98","120.17K","-0.20%"
"01/18/2012","100.59","100.91","102.06","99.84","269.39K","-0.12%"
"01/17/2012","100.71","98.95","101.01","98.60","322.04K","2.04%"
"01/13/2012","98.70","99.20","100.19","97.70","335.62K","-0.40%"
"01/12/2012","99.10","101.00","102.98","98.50","370.51K","-1.75%"
"01/11/2012","100.87","102.20","102.46","100.55","311.64K","-1.34%"
"01/10/2012","102.24","101.30","103.41","101.30","291.27K","0.92%"
"01/09/2012","101.31","101.92","102.15","100.10","311.87K","-0.25%"
"01/06/2012","101.56","101.35","102.80","100.88","290.46K","-0.25%"
"01/05/2012","101.81","103.29","103.73","101.30","295.62K","-1.37%"
"01/04/2012","103.22","102.99","103.74","101.88","271.71K","0.25%"
"01/03/2012","102.96","99.70","103.18","99.65","275.48K","4.18%"
"12/30/2011","98.83","99.78","100.16","98.61","154.06K","-0.82%"
"12/29/2011","99.65","99.59","99.92","98.30","153.92K","0.29%"
"12/28/2011","99.36","101.25","101.71","99.11","164.66K","-1.95%"
"12/27/2011","101.34","99.92","101.77","99.37","124.24K","1.67%"
"12/23/2011","99.68","99.48","100.23","99.24","95.27K","0.15%"
"12/22/2011","99.53","99.03","100.05","98.51","151.56K","0.87%"
"12/21/2011","98.67","97.53","99.25","96.80","219.51K","1.49%"
"12/20/2011","97.22","94.14","97.45","94.14","35.84K","3.56%"
"12/19/2011","93.88","93.76","94.42","92.54","114.56K","0.37%"
"12/16/2011","93.53","93.42","94.79","92.52","205.89K","-0.36%"
"12/15/2011","93.87","94.89","95.99","93.31","273.76K","-1.14%"
"12/14/2011","94.95","100.33","100.33","94.21","377.48K","-5.18%"
"12/13/2011","100.14","97.85","101.25","97.64","380.75K","2.42%"
"12/12/2011","97.77","99.58","99.68","97.54","279.15K","-1.65%"
"12/09/2011","99.41","98.08","99.91","97.36","318.77K","1.09%"
"12/08/2011","98.34","100.84","101.73","97.71","340.68K","-2.14%"
"12/07/2011","100.49","101.11","101.94","99.67","330.53K","-0.78%"
"12/06/2011","101.28","100.45","101.42","100.20","217.03K","0.29%"
"12/05/2011","100.99","101.23","102.44","100.24","239.38K","0.03%"
"12/02/2011","100.96","100.00","101.56","99.76","245.92K","0.76%"
"12/01/2011","100.20","100.51","101.17","98.87","275.86K","-0.16%"
"11/30/2011","100.36","99.48","101.75","98.92","302.86K","0.57%"
"11/29/2011","99.79","97.75","100.15","97.23","320.86K","1.61%"
"11/28/2011","98.21","97.50","100.74","97.13","311.74K","1.49%"
"11/25/2011","96.77","95.79","97.55","94.99","185.84K","0.62%"
"11/23/2011","96.17","97.79","97.87","95.35","283.45K","-1.88%"
"11/22/2011","98.01","97.20","98.70","96.55","319.25K","1.12%"
"11/21/2011","96.92","97.54","97.86","95.24","279.10K","-0.50%"
"11/18/2011","97.41","98.61","100.15","96.64","38.55K","-1.43%"
"11/17/2011","98.82","101.76","103.37","98.28","194.04K","-3.67%"
"11/16/2011","102.59","99.32","102.89","98.39","379.61K","3.24%"
"11/15/2011","99.37","98.04","99.84","97.51","353.32K","1.25%"
"11/14/2011","98.14","99.30","99.69","97.19","351.52K","-0.86%"
"11/11/2011","98.99","97.51","99.40","97.35","282.79K","1.24%"
"11/10/2011","97.78","95.75","98.35","95.20","347.73K","2.13%"
"11/09/2011","95.74","96.81","97.84","94.54","445.71K","-1.10%"
"11/08/2011","96.80","95.87","97.08","95.23","313.57K","1.34%"
"11/07/2011","95.52","94.40","96.11","93.23","321.19K","1.34%"
"11/04/2011","94.26","94.24","94.93","92.87","295.46K","0.20%"
"11/03/2011","94.07","92.99","94.61","90.87","299.99K","1.69%"
"11/02/2011","92.51","91.60","93.79","90.97","265.63K","0.35%"
